name,address,phoneNumber,city,age,calls,activeCalls,sms,data,subscription_a,subscription_b,subscription_c,subscription_d,plan
A1,ADDRESS1,9001000201,Chennimalai,88,1,4,1,6,0,0,0,0,1
A2,ADDRESS2,9001000202,Karur,43,0,6,2,17,0,0,0,0,1
A3,ADDRESS3,9001000203,Salem,24,1,8,2,43,0,0,0,0,1
A4,ADDRESS4,9001000204,Salem,82,2,7,1,40,0,0,0,0,1
A5,ADDRESS5,9001000205,Chennai,60,0,12,1,11,0,0,0,0,1
A6,ADDRESS6,9001000206,Coimbatore,50,3,8,0,34,0,0,0,0,1
A7,ADDRESS7,9001000207,Madurai,73,0,5,2,42,0,0,0,0,1
A8,ADDRESS8,9001000208,Chennimalai,33,5,12,2,26,0,0,0,0,1
A9,ADDRESS9,9001000209,Delhi,36,3,8,1,50,0,0,0,0,1
A10,ADDRESS10,9001000210,Mumbai,76,1,9,0,40,0,0,0,0,1
A11,ADDRESS11,9001000211,Mumbai,57,3,7,1,42,0,0,0,0,1
A12,ADDRESS12,9001000212,Chennimalai,32,2,11,0,23,0,0,0,0,1
A13,ADDRESS13,9001000213,Bangalore,43,3,12,0,6,0,0,0,0,1
A14,ADDRESS14,9001000214,Chennimalai,62,1,5,2,34,0,0,0,0,1
A15,ADDRESS15,9001000215,Madurai,91,0,4,0,33,0,0,0,0,1
A16,ADDRESS16,9001000216,Karur,52,2,12,0,11,0,0,0,0,1
A17,ADDRESS17,9001000217,Bangalore,83,2,4,0,9,0,0,0,0,1
A18,ADDRESS18,9001000218,Delhi,48,4,11,0,39,0,0,0,0,1
A19,ADDRESS19,9001000219,Madurai,78,0,9,1,3,0,0,0,0,1
A20,ADDRESS20,9001000220,Bangalore,46,1,8,1,43,0,0,0,0,1
A21,ADDRESS21,9001000221,Coimbatore,91,1,12,2,16,0,0,0,0,1
A22,ADDRESS22,9001000222,Delhi,81,1,11,1,6,0,0,0,0,1
A23,ADDRESS23,9001000223,Coimbatore,65,2,9,2,23,0,0,0,0,1
A24,ADDRESS24,9001000224,Namakkal,27,5,10,2,6,0,0,0,0,1
A25,ADDRESS25,9001000225,Madurai,67,0,3,0,8,0,0,0,0,1
A26,ADDRESS26,9001000226,Namakkal,69,2,5,0,13,0,0,0,0,1
A27,ADDRESS27,9001000227,Salem,20,3,12,2,12,0,0,0,0,1
A28,ADDRESS28,9001000228,Salem,60,1,1,0,17,0,0,0,0,1
