name,address,phoneNumber,city,age,calls,activeCalls,sms,data,subscription_a,subscription_b,subscription_c,subscription_d,plan
A1,ADDRESS1,9001000201,Delhi,20,4,9,1,44,0,0,0,0,1
A2,ADDRESS2,9001000202,Salem,38,2,6,2,35,0,0,0,0,1
A3,ADDRESS3,9001000203,Karur,39,3,8,2,49,0,0,0,0,1
A4,ADDRESS4,9001000204,Chennimalai,81,0,10,2,42,0,0,0,0,1
A5,ADDRESS5,9001000205,Chennimalai,81,0,4,0,49,0,0,0,0,1
A6,ADDRESS6,9001000206,Mumbai,78,1,10,0,43,0,0,0,0,1
A7,ADDRESS7,9001000207,Coimbatore,60,3,6,2,50,0,0,0,0,1
A8,ADDRESS8,9001000208,Namakkal,53,4,8,2,25,0,0,0,0,1
A9,ADDRESS9,9001000209,Chennai,33,3,8,0,18,0,0,0,0,1
A10,ADDRESS10,9001000210,Bangalore,41,0,10,1,7,0,0,0,0,1
A11,ADDRESS11,9001000211,Karur,65,3,3,2,45,0,0,0,0,1
A12,ADDRESS12,9001000212,Bangalore,71,0,7,1,41,0,0,0,0,1
A13,ADDRESS13,9001000213,Karur,38,4,6,0,8,0,0,0,0,1
A14,ADDRESS14,9001000214,Coimbatore,69,4,7,0,49,0,0,0,0,1
A15,ADDRESS15,9001000215,Delhi,59,0,6,0,30,0,0,0,0,1
A16,ADDRESS16,9001000216,Bangalore,85,2,12,1,20,0,0,0,0,1
A17,ADDRESS17,9001000217,Salem,87,3,7,2,46,0,0,0,0,1
A18,ADDRESS18,9001000218,Namakkal,86,0,8,0,33,0,0,0,0,1
A19,ADDRESS19,9001000219,Chennimalai,57,1,6,1,2,0,0,0,0,1
A20,ADDRESS20,9001000220,Salem,46,2,10,2,31,0,0,0,0,1
A21,ADDRESS21,9001000221,Salem,57,3,9,0,41,0,0,0,0,1
A22,ADDRESS22,9001000222,Karur,30,4,5,2,6,0,0,0,0,1
A23,ADDRESS23,9001000223,Karur,85,0,9,2,23,0,0,0,0,1
A24,ADDRESS24,9001000224,Namakkal,55,4,8,1,23,0,0,0,0,1
A25,ADDRESS25,9001000225,Bangalore,36,4,11,1,0,0,0,0,0,1
A26,ADDRESS26,9001000226,Bangalore,65,3,9,1,31,0,0,0,0,1
A27,ADDRESS27,9001000227,Delhi,51,4,6,0,31,0,0,0,0,1
A28,ADDRESS28,9001000228,Coimbatore,55,3,4,0,10,0,0,0,0,1
A29,ADDRESS29,9001000229,Namakkal,51,0,7,0,36,0,0,0,0,1
A30,ADDRESS30,9001000230,Delhi,84,3,11,0,8,0,0,0,0,1
A31,ADDRESS31,9001000231,Chennimalai,34,4,6,1,37,0,0,0,0,1
A32,ADDRESS32,9001000232,Delhi,35,3,7,2,31,0,0,0,0,1
A33,ADDRESS33,9001000233,Salem,64,4,5,1,50,0,0,0,0,1
A34,ADDRESS34,9001000234,Coimbatore,34,3,7,0,32,0,0,0,0,1
A35,ADDRESS35,9001000235,Bangalore,53,0,1,1,3,0,0,0,0,1
A36,ADDRESS36,9001000236,Coimbatore,54,1,6,2,22,0,0,0,0,1
A37,ADDRESS37,9001000237,Chennimalai,75,1,10,1,29,0,0,0,0,1
A38,ADDRESS38,9001000238,Madurai,25,2,5,0,25,0,0,0,0,1
A39,ADDRESS39,9001000239,Madurai,63,2,4,0,48,0,0,0,0,1
A40,ADDRESS40,9001000240,Chennai,72,1,4,2,19,0,0,0,0,1
A41,ADDRESS41,9001000241,Chennimalai,59,1,5,2,15,0,0,0,0,1
A42,ADDRESS42,9001000242,Bangalore,38,3,3,2,40,0,0,0,0,1
A43,ADDRESS43,9001000243,Madurai,73,4,11,0,6,0,0,0,0,1
A44,ADDRESS44,9001000244,Chennimalai,18,1,6,1,5,0,0,0,0,1
A45,ADDRESS45,9001000245,Bangalore,88,0,7,0,18,0,0,0,0,1
A46,ADDRESS46,9001000246,Delhi,68,2,12,1,28,0,0,0,0,1
A47,ADDRESS47,9001000247,Bangalore,50,2,10,0,27,0,0,0,0,1
A48,ADDRESS48,9001000248,Delhi,25,4,10,0,22,0,0,0,0,1
A49,ADDRESS49,9001000249,Chennai,85,3,4,2,20,0,0,0,0,1
A50,ADDRESS50,9001000250,Madurai,75,3,3,2,35,0,0,0,0,1
A51,ADDRESS51,9001000251,Delhi,63,1,2,2,20,0,0,0,0,1
A52,ADDRESS52,9001000252,Coimbatore,80,3,11,2,30,0,0,0,0,1
A53,ADDRESS53,9001000253,Chennai,43,1,11,0,41,0,0,0,0,1
A54,ADDRESS54,9001000254,Delhi,44,2,9,1,50,0,0,0,0,1
A55,ADDRESS55,9001000255,Delhi,72,1,2,1,10,0,0,0,0,1
A56,ADDRESS56,9001000256,Mumbai,44,0,11,1,29,0,0,0,0,1
A57,ADDRESS57,9001000257,Namakkal,22,2,5,1,26,0,0,0,0,1
A58,ADDRESS58,9001000258,Madurai,21,4,9,0,8,0,0,0,0,1
A59,ADDRESS59,9001000259,Namakkal,76,3,4,2,12,0,0,0,0,1
A60,ADDRESS60,9001000260,Coimbatore,41,5,10,1,48,0,0,0,0,1
A61,ADDRESS61,9001000261,Chennai,29,3,3,0,39,0,0,0,0,1
A62,ADDRESS62,9001000262,Namakkal,47,0,3,0,21,0,0,0,0,1
A63,ADDRESS63,9001000263,Chennimalai,68,0,6,2,24,0,0,0,0,1
A64,ADDRESS64,9001000264,Chennai,45,2,8,0,0,0,0,0,0,1
A65,ADDRESS65,9001000265,Coimbatore,36,1,1,2,31,0,0,0,0,1
A66,ADDRESS66,9001000266,Chennai,57,2,2,1,39,0,0,0,0,1
A67,ADDRESS67,9001000267,Karur,31,5,12,2,48,0,0,0,0,1
A68,ADDRESS68,9001000268,Coimbatore,56,1,7,1,0,0,0,0,0,1
A69,ADDRESS69,9001000269,Chennai,65,3,5,0,32,0,0,0,0,1
A70,ADDRESS70,9001000270,Delhi,46,2,3,1,7,0,0,0,0,1
A71,ADDRESS71,9001000271,Mumbai,24,2,11,0,41,0,0,0,0,1
A72,ADDRESS72,9001000272,Delhi,60,0,5,0,9,0,0,0,0,1
A73,ADDRESS73,9001000273,Madurai,79,3,8,2,39,0,0,0,0,1
A74,ADDRESS74,9001000274,Chennimalai,51,1,4,2,2,0,0,0,0,1
A75,ADDRESS75,9001000275,Chennai,24,0,4,0,15,0,0,0,0,1
A76,ADDRESS76,9001000276,Coimbatore,56,2,6,2,31,0,0,0,0,1
A77,ADDRESS77,9001000277,Mumbai,23,4,10,2,25,0,0,0,0,1
A78,ADDRESS78,9001000278,Bangalore,52,3,9,0,0,0,0,0,0,1
A79,ADDRESS79,9001000279,Bangalore,47,1,11,0,4,0,0,0,0,1
A80,ADDRESS80,9001000280,Madurai,78,3,4,0,22,0,0,0,0,1
A81,ADDRESS81,9001000281,Madurai,58,1,1,0,26,0,0,0,0,1
A82,ADDRESS82,9001000282,Chennai,85,1,10,2,40,0,0,0,0,1
A83,ADDRESS83,9001000283,Madurai,81,0,2,0,11,0,0,0,0,1
A84,ADDRESS84,9001000284,Coimbatore,60,0,0,1,46,0,0,0,0,1
A85,ADDRESS85,9001000285,Madurai,24,2,12,0,48,0,0,0,0,1
A86,ADDRESS86,9001000286,Salem,18,4,11,2,21,0,0,0,0,1
A87,ADDRESS87,9001000287,Salem,34,5,6,1,6,0,0,0,0,1
A88,ADDRESS88,9001000288,Bangalore,71,1,10,0,28,0,0,0,0,1
A89,ADDRESS89,9001000289,Chennimalai,87,2,4,2,0,0,0,0,0,1
A90,ADDRESS90,9001000290,Karur,43,5,11,1,27,0,0,0,0,1
A91,ADDRESS91,9001000291,Salem,35,1,1,2,33,0,0,0,0,1
A92,ADDRESS92,9001000292,Karur,63,0,7,0,19,0,0,0,0,1
A93,ADDRESS93,9001000293,Delhi,88,0,1,0,7,0,0,0,0,1
A94,ADDRESS94,9001000294,Delhi,23,1,3,2,35,0,0,0,0,1
A95,ADDRESS95,9001000295,Mumbai,41,0,0,2,45,0,0,0,0,1
A96,ADDRESS96,9001000296,Chennai,73,2,5,1,22,0,0,0,0,1
A97,ADDRESS97,9001000297,Madurai,37,5,10,1,15,0,0,0,0,1
A98,ADDRESS98,9001000298,Karur,55,2,8,2,2,0,0,0,0,1
A99,ADDRESS99,9001000299,Coimbatore,27,2,5,1,40,0,0,0,0,1
A100,ADDRESS100,9001000300,Chennimalai,73,3,8,0,10,0,0,0,0,1
A101,ADDRESS101,9001000301,Mumbai,72,3,7,2,10,0,0,0,0,1
A102,ADDRESS102,9001000302,Coimbatore,57,4,12,2,44,0,0,0,0,1
A103,ADDRESS103,9001000303,Namakkal,84,3,3,0,44,0,0,0,0,1
A104,ADDRESS104,9001000304,Chennimalai,90,0,3,2,18,0,0,0,0,1
A105,ADDRESS105,9001000305,Madurai,23,0,12,0,16,0,0,0,0,1
A106,ADDRESS106,9001000306,Delhi,25,0,1,2,22,0,0,0,0,1
A107,ADDRESS107,9001000307,Chennimalai,75,2,12,1,38,0,0,0,0,1
A108,ADDRESS108,9001000308,Mumbai,85,3,5,1,14,0,0,0,0,1
A109,ADDRESS109,9001000309,Mumbai,28,1,8,2,13,0,0,0,0,1
A110,ADDRESS110,9001000310,Delhi,68,3,12,2,18,0,0,0,0,1
A111,ADDRESS111,9001000311,Delhi,42,1,1,1,39,0,0,0,0,1
A112,ADDRESS112,9001000312,Bangalore,68,0,9,1,29,0,0,0,0,1
A113,ADDRESS113,9001000313,Chennai,46,4,7,0,10,0,0,0,0,1
A114,ADDRESS114,9001000314,Namakkal,83,1,3,0,24,0,0,0,0,1
A115,ADDRESS115,9001000315,Delhi,39,4,9,2,36,0,0,0,0,1
A116,ADDRESS116,9001000316,Chennai,28,1,4,1,44,0,0,0,0,1
A117,ADDRESS117,9001000317,Bangalore,25,4,11,1,43,0,0,0,0,1
A118,ADDRESS118,9001000318,Chennimalai,41,5,12,1,39,0,0,0,0,1
A119,ADDRESS119,9001000319,Mumbai,87,0,4,2,26,0,0,0,0,1
A120,ADDRESS120,9001000320,Namakkal,86,2,5,0,2,0,0,0,0,1
A121,ADDRESS121,9001000321,Bangalore,32,4,12,2,5,0,0,0,0,1
A122,ADDRESS122,9001000322,Delhi,53,0,3,2,43,0,0,0,0,1
A123,ADDRESS123,9001000323,Delhi,50,0,11,1,5,0,0,0,0,1
A124,ADDRESS124,9001000324,Mumbai,30,2,11,1,9,0,0,0,0,1
A125,ADDRESS125,9001000325,Mumbai,39,0,0,1,26,0,0,0,0,1
A126,ADDRESS126,9001000326,Coimbatore,90,1,5,0,45,0,0,0,0,1
A127,ADDRESS127,9001000327,Chennai,69,2,11,1,4,0,0,0,0,1
A128,ADDRESS128,9001000328,Delhi,55,3,3,0,14,0,0,0,0,1
A129,ADDRESS129,9001000329,Delhi,38,1,7,1,20,0,0,0,0,1
A130,ADDRESS130,9001000330,Namakkal,18,2,5,0,16,0,0,0,0,1
A131,ADDRESS131,9001000331,Mumbai,56,4,4,2,3,0,0,0,0,1
A132,ADDRESS132,9001000332,Mumbai,30,5,12,1,28,0,0,0,0,1
A133,ADDRESS133,9001000333,Bangalore,75,3,12,0,1,0,0,0,0,1
A134,ADDRESS134,9001000334,Madurai,78,1,3,0,31,0,0,0,0,1
A135,ADDRESS135,9001000335,Chennai,52,4,8,1,29,0,0,0,0,1
A136,ADDRESS136,9001000336,Salem,71,4,4,0,24,0,0,0,0,1
A137,ADDRESS137,9001000337,Madurai,63,3,12,2,19,0,0,0,0,1
A138,ADDRESS138,9001000338,Chennimalai,84,3,3,2,27,0,0,0,0,1
A139,ADDRESS139,9001000339,Delhi,31,2,6,1,50,0,0,0,0,1
A140,ADDRESS140,9001000340,Namakkal,85,1,2,1,39,0,0,0,0,1
A141,ADDRESS141,9001000341,Mumbai,58,2,11,1,49,0,0,0,0,1
A142,ADDRESS142,9001000342,Chennai,41,1,7,1,32,0,0,0,0,1
A143,ADDRESS143,9001000343,Madurai,83,0,11,2,19,0,0,0,0,1
A144,ADDRESS144,9001000344,Karur,85,1,11,1,48,0,0,0,0,1
A145,ADDRESS145,9001000345,Chennimalai,21,3,4,1,38,0,0,0,0,1
A146,ADDRESS146,9001000346,Delhi,27,5,10,2,29,0,0,0,0,1
A147,ADDRESS147,9001000347,Salem,87,3,7,1,50,0,0,0,0,1
A148,ADDRESS148,9001000348,Madurai,72,2,8,1,34,0,0,0,0,1
A149,ADDRESS149,9001000349,Mumbai,35,2,6,0,21,0,0,0,0,1
A150,ADDRESS150,9001000350,Delhi,40,5,5,2,31,0,0,0,0,1
A151,ADDRESS151,9001000351,Delhi,32,0,10,1,2,0,0,0,0,1
A152,ADDRESS152,9001000352,Mumbai,30,4,10,2,11,0,0,0,0,1
A153,ADDRESS153,9001000353,Coimbatore,79,3,10,0,41,0,0,0,0,1
A154,ADDRESS154,9001000354,Mumbai,75,2,10,2,24,0,0,0,0,1
A155,ADDRESS155,9001000355,Delhi,23,3,10,2,30,0,0,0,0,1
A156,ADDRESS156,9001000356,Delhi,46,2,4,0,50,0,0,0,0,1
A157,ADDRESS157,9001000357,Karur,88,3,6,0,37,0,0,0,0,1
A158,ADDRESS158,9001000358,Bangalore,26,4,8,2,31,0,0,0,0,1
A159,ADDRESS159,9001000359,Mumbai,82,1,1,1,14,0,0,0,0,1
A160,ADDRESS160,9001000360,Mumbai,20,3,3,1,4,0,0,0,0,1
A161,ADDRESS161,9001000361,Mumbai,49,5,7,2,26,0,0,0,0,1
A162,ADDRESS162,9001000362,Namakkal,70,0,7,2,18,0,0,0,0,1
A163,ADDRESS163,9001000363,Madurai,44,0,3,2,32,0,0,0,0,1
A164,ADDRESS164,9001000364,Delhi,57,4,12,2,9,0,0,0,0,1
A165,ADDRESS165,9001000365,Namakkal,39,2,11,0,36,0,0,0,0,1
A166,ADDRESS166,9001000366,Karur,67,4,10,1,38,0,0,0,0,1
A167,ADDRESS167,9001000367,Coimbatore,82,0,4,0,24,0,0,0,0,1
A168,ADDRESS168,9001000368,Chennimalai,84,0,2,0,12,0,0,0,0,1
A169,ADDRESS169,9001000369,Mumbai,28,3,7,1,42,0,0,0,0,1
A170,ADDRESS170,9001000370,Madurai,35,2,9,2,35,0,0,0,0,1
A171,ADDRESS171,9001000371,Karur,77,0,5,0,19,0,0,0,0,1
A172,ADDRESS172,9001000372,Salem,53,2,6,0,9,0,0,0,0,1
A173,ADDRESS173,9001000373,Chennai,30,0,12,0,6,0,0,0,0,1
A174,ADDRESS174,9001000374,Madurai,59,1,7,1,6,0,0,0,0,1
A175,ADDRESS175,9001000375,Bangalore,33,5,12,2,23,0,0,0,0,1
A176,ADDRESS176,9001000376,Salem,90,2,11,2,26,0,0,0,0,1
A177,ADDRESS177,9001000377,Chennimalai,91,3,10,0,7,0,0,0,0,1
A178,ADDRESS178,9001000378,Karur,38,2,12,0,13,0,0,0,0,1
A179,ADDRESS179,9001000379,Namakkal,68,4,5,0,5,0,0,0,0,1
A180,ADDRESS180,9001000380,Karur,24,5,5,0,6,0,0,0,0,1
A181,ADDRESS181,9001000381,Madurai,45,3,8,1,2,0,0,0,0,1
A182,ADDRESS182,9001000382,Delhi,62,4,4,2,17,0,0,0,0,1
A183,ADDRESS183,9001000383,Karur,37,1,1,0,19,0,0,0,0,1
A184,ADDRESS184,9001000384,Coimbatore,77,1,2,0,42,0,0,0,0,1
A185,ADDRESS185,9001000385,Chennai,74,2,8,2,37,0,0,0,0,1
A186,ADDRESS186,9001000386,Namakkal,85,1,12,1,48,0,0,0,0,1
A187,ADDRESS187,9001000387,Mumbai,35,0,8,0,6,0,0,0,0,1
A188,ADDRESS188,9001000388,Madurai,37,3,5,0,40,0,0,0,0,1
A189,ADDRESS189,9001000389,Salem,27,0,9,0,33,0,0,0,0,1
A190,ADDRESS190,9001000390,Karur,19,0,9,2,31,0,0,0,0,1
A191,ADDRESS191,9001000391,Bangalore,28,5,9,1,20,0,0,0,0,1
A192,ADDRESS192,9001000392,Bangalore,66,4,10,0,44,0,0,0,0,1
A193,ADDRESS193,9001000393,Salem,19,2,8,0,5,0,0,0,0,1
A194,ADDRESS194,9001000394,Chennimalai,20,3,9,0,26,0,0,0,0,1
A195,ADDRESS195,9001000395,Coimbatore,46,1,4,1,46,0,0,0,0,1
A196,ADDRESS196,9001000396,Mumbai,32,3,12,2,23,0,0,0,0,1
A197,ADDRESS197,9001000397,Mumbai,65,0,10,2,40,0,0,0,0,1
A198,ADDRESS198,9001000398,Chennai,60,4,6,1,41,0,0,0,0,1
A199,ADDRESS199,9001000399,Coimbatore,80,2,3,2,20,0,0,0,0,1
A200,ADDRESS200,9001000400,Chennai,42,0,3,2,22,0,0,0,0,1
A201,ADDRESS201,9001000401,Chennimalai,82,0,0,0,40,0,0,0,0,1
A202,ADDRESS202,9001000402,Karur,50,0,10,2,3,0,0,0,0,1
A203,ADDRESS203,9001000403,Delhi,22,2,8,2,2,0,0,0,0,1
A204,ADDRESS204,9001000404,Bangalore,36,1,11,2,1,0,0,0,0,1
A205,ADDRESS205,9001000405,Chennimalai,25,0,0,1,0,0,0,0,0,1
A206,ADDRESS206,9001000406,Bangalore,51,4,10,2,42,0,0,0,0,1
A207,ADDRESS207,9001000407,Madurai,87,0,10,1,40,0,0,0,0,1
A208,ADDRESS208,9001000408,Chennimalai,45,2,8,1,15,0,0,0,0,1
A209,ADDRESS209,9001000409,Madurai,27,2,12,1,2,0,0,0,0,1
A210,ADDRESS210,9001000410,Mumbai,51,1,3,0,41,0,0,0,0,1
A211,ADDRESS211,9001000411,Delhi,22,5,10,0,28,0,0,0,0,1
A212,ADDRESS212,9001000412,Delhi,28,5,9,0,34,0,0,0,0,1
A213,ADDRESS213,9001000413,Delhi,44,1,5,1,5,0,0,0,0,1
A214,ADDRESS214,9001000414,Karur,69,1,5,1,15,0,0,0,0,1
A215,ADDRESS215,9001000415,Bangalore,73,4,6,1,30,0,0,0,0,1
A216,ADDRESS216,9001000416,Chennimalai,44,2,2,1,26,0,0,0,0,1
A217,ADDRESS217,9001000417,Namakkal,41,3,12,0,26,0,0,0,0,1
A218,ADDRESS218,9001000418,Delhi,78,0,9,1,25,0,0,0,0,1
A219,ADDRESS219,9001000419,Coimbatore,78,0,10,1,7,0,0,0,0,1
A220,ADDRESS220,9001000420,Bangalore,58,3,3,2,42,0,0,0,0,1
A221,ADDRESS221,9001000421,Namakkal,60,0,1,1,7,0,0,0,0,1
A222,ADDRESS222,9001000422,Bangalore,71,3,12,2,47,0,0,0,0,1
A223,ADDRESS223,9001000423,Chennimalai,36,2,11,1,19,0,0,0,0,1
A224,ADDRESS224,9001000424,Madurai,60,0,4,2,37,0,0,0,0,1
A225,ADDRESS225,9001000425,Madurai,71,1,3,0,22,0,0,0,0,1
A226,ADDRESS226,9001000426,Namakkal,85,3,11,1,44,0,0,0,0,1
A227,ADDRESS227,9001000427,Chennai,39,0,10,2,36,0,0,0,0,1
A228,ADDRESS228,9001000428,Bangalore,59,4,11,2,23,0,0,0,0,1
A229,ADDRESS229,9001000429,Madurai,49,4,12,2,3,0,0,0,0,1
A230,ADDRESS230,9001000430,Chennimalai,75,3,11,2,28,0,0,0,0,1
A231,ADDRESS231,9001000431,Delhi,45,2,12,0,0,0,0,0,0,1
A232,ADDRESS232,9001000432,Coimbatore,29,2,4,2,34,0,0,0,0,1
A233,ADDRESS233,9001000433,Coimbatore,26,1,4,0,35,0,0,0,0,1
A234,ADDRESS234,9001000434,Mumbai,44,4,7,1,25,0,0,0,0,1
A235,ADDRESS235,9001000435,Coimbatore,59,0,1,0,32,0,0,0,0,1
A236,ADDRESS236,9001000436,Bangalore,83,1,1,0,37,0,0,0,0,1
A237,ADDRESS237,9001000437,Coimbatore,53,3,3,0,40,0,0,0,0,1
A238,ADDRESS238,9001000438,Coimbatore,68,3,7,2,34,0,0,0,0,1
A239,ADDRESS239,9001000439,Madurai,71,0,3,0,20,0,0,0,0,1
A240,ADDRESS240,9001000440,Delhi,59,4,12,1,39,0,0,0,0,1
A241,ADDRESS241,9001000441,Salem,60,1,8,2,19,0,0,0,0,1
A242,ADDRESS242,9001000442,Salem,88,2,12,1,39,0,0,0,0,1
A243,ADDRESS243,9001000443,Delhi,80,2,10,0,30,0,0,0,0,1
A244,ADDRESS244,9001000444,Chennai,66,1,2,1,34,0,0,0,0,1
