name,address,phoneNumber,city,age,calls,activeCalls,sms,data,subscription_a,subscription_b,subscription_c,subscription_d,plan
A1,ADDRESS1,9001000201,Chennai,77,1,8,1,21,0,0,0,0,1
A2,ADDRESS2,9001000202,Bangalore,40,2,9,1,4,0,0,0,0,1
A3,ADDRESS3,9001000203,Bangalore,89,0,3,0,21,0,0,0,0,1
A4,ADDRESS4,9001000204,Chennimalai,73,2,7,1,9,0,0,0,0,1
A5,ADDRESS5,9001000205,Coimbatore,88,2,11,0,12,0,0,0,0,1
A6,ADDRESS6,9001000206,Coimbatore,25,2,4,1,19,0,0,0,0,1
A7,ADDRESS7,9001000207,Chennai,68,2,3,1,26,0,0,0,0,1
A8,ADDRESS8,9001000208,Coimbatore,68,2,4,2,37,0,0,0,0,1
A9,ADDRESS9,9001000209,Salem,43,2,5,1,2,0,0,0,0,1
A10,ADDRESS10,9001000210,Chennimalai,61,0,11,1,15,0,0,0,0,1
A11,ADDRESS11,9001000211,Karur,57,3,6,2,29,0,0,0,0,1
A12,ADDRESS12,9001000212,Chennimalai,77,0,12,0,45,0,0,0,0,1
A13,ADDRESS13,9001000213,Madurai,32,0,3,0,35,0,0,0,0,1
A14,ADDRESS14,9001000214,Mumbai,24,1,8,0,47,0,0,0,0,1
A15,ADDRESS15,9001000215,Chennimalai,84,1,1,0,20,0,0,0,0,1
A16,ADDRESS16,9001000216,Madurai,41,2,11,1,6,0,0,0,0,1
A17,ADDRESS17,9001000217,Bangalore,36,4,12,0,46,0,0,0,0,1
A18,ADDRESS18,9001000218,Chennai,43,4,11,1,47,0,0,0,0,1
A19,ADDRESS19,9001000219,Madurai,70,3,3,1,7,0,0,0,0,1
A20,ADDRESS20,9001000220,Madurai,22,3,9,0,14,0,0,0,0,1
A21,ADDRESS21,9001000221,Coimbatore,19,0,10,0,44,0,0,0,0,1
A22,ADDRESS22,9001000222,Delhi,51,3,4,2,23,0,0,0,0,1
A23,ADDRESS23,9001000223,Bangalore,29,2,2,2,50,0,0,0,0,1
A24,ADDRESS24,9001000224,Namakkal,28,1,5,1,11,0,0,0,0,1
A25,ADDRESS25,9001000225,Delhi,60,0,6,0,37,0,0,0,0,1
A26,ADDRESS26,9001000226,Karur,90,0,2,1,1,0,0,0,0,1
A27,ADDRESS27,9001000227,Namakkal,38,2,9,2,2,0,0,0,0,1
A28,ADDRESS28,9001000228,Delhi,27,4,7,0,14,0,0,0,0,1
A29,ADDRESS29,9001000229,Delhi,24,0,9,2,45,0,0,0,0,1
A30,ADDRESS30,9001000230,Chennai,31,3,6,1,32,0,0,0,0,1
A31,ADDRESS31,9001000231,Coimbatore,41,4,12,0,16,0,0,0,0,1
A32,ADDRESS32,9001000232,Bangalore,83,2,7,1,14,0,0,0,0,1
A33,ADDRESS33,9001000233,Salem,38,2,7,0,50,0,0,0,0,1
A34,ADDRESS34,9001000234,Namakkal,78,2,3,2,19,0,0,0,0,1
A35,ADDRESS35,9001000235,Delhi,74,2,10,0,0,0,0,0,0,1
A36,ADDRESS36,9001000236,Salem,64,1,10,0,36,0,0,0,0,1
A37,ADDRESS37,9001000237,Namakkal,46,3,11,1,23,0,0,0,0,1
A38,ADDRESS38,9001000238,Bangalore,36,5,9,0,50,0,0,0,0,1
A39,ADDRESS39,9001000239,Madurai,48,3,6,2,29,0,0,0,0,1
A40,ADDRESS40,9001000240,Delhi,28,0,4,2,39,0,0,0,0,1
A41,ADDRESS41,9001000241,Madurai,23,5,5,1,36,0,0,0,0,1
A42,ADDRESS42,9001000242,Delhi,24,3,10,0,20,0,0,0,0,1
A43,ADDRESS43,9001000243,Delhi,37,3,12,0,15,0,0,0,0,1
A44,ADDRESS44,9001000244,Madurai,50,3,8,1,44,0,0,0,0,1
A45,ADDRESS45,9001000245,Mumbai,36,3,7,2,34,0,0,0,0,1
A46,ADDRESS46,9001000246,Delhi,70,3,7,0,12,0,0,0,0,1
A47,ADDRESS47,9001000247,Chennimalai,42,0,4,2,1,0,0,0,0,1
A48,ADDRESS48,9001000248,Chennimalai,33,2,4,0,18,0,0,0,0,1
A49,ADDRESS49,9001000249,Delhi,58,2,7,2,16,0,0,0,0,1
A50,ADDRESS50,9001000250,Mumbai,83,0,10,0,33,0,0,0,0,1
A51,ADDRESS51,9001000251,Bangalore,89,2,2,0,16,0,0,0,0,1
A52,ADDRESS52,9001000252,Chennimalai,88,0,2,2,26,0,0,0,0,1
A53,ADDRESS53,9001000253,Coimbatore,71,1,9,0,17,0,0,0,0,1
A54,ADDRESS54,9001000254,Chennai,49,0,12,2,27,0,0,0,0,1
A55,ADDRESS55,9001000255,Salem,61,2,9,0,46,0,0,0,0,1
A56,ADDRESS56,9001000256,Chennai,64,3,6,0,23,0,0,0,0,1
A57,ADDRESS57,9001000257,Bangalore,45,4,11,2,2,0,0,0,0,1
A58,ADDRESS58,9001000258,Mumbai,82,0,8,1,26,0,0,0,0,1
A59,ADDRESS59,9001000259,Chennimalai,72,1,3,2,33,0,0,0,0,1
A60,ADDRESS60,9001000260,Coimbatore,69,1,8,2,16,0,0,0,0,1
A61,ADDRESS61,9001000261,Delhi,64,1,4,2,16,0,0,0,0,1
A62,ADDRESS62,9001000262,Coimbatore,23,0,12,0,36,0,0,0,0,1
A63,ADDRESS63,9001000263,Bangalore,81,1,1,2,30,0,0,0,0,1
A64,ADDRESS64,9001000264,Madurai,31,5,12,2,36,0,0,0,0,1
A65,ADDRESS65,9001000265,Delhi,72,3,12,0,30,0,0,0,0,1
A66,ADDRESS66,9001000266,Namakkal,48,3,4,2,41,0,0,0,0,1
A67,ADDRESS67,9001000267,Chennimalai,67,0,3,1,18,0,0,0,0,1
A68,ADDRESS68,9001000268,Chennimalai,72,2,8,1,23,0,0,0,0,1
A69,ADDRESS69,9001000269,Namakkal,51,2,6,1,8,0,0,0,0,1
A70,ADDRESS70,9001000270,Chennimalai,75,2,12,1,24,0,0,0,0,1
A71,ADDRESS71,9001000271,Chennai,76,1,10,1,9,0,0,0,0,1
A72,ADDRESS72,9001000272,Chennai,64,0,10,2,7,0,0,0,0,1
A73,ADDRESS73,9001000273,Namakkal,40,3,3,0,13,0,0,0,0,1
A74,ADDRESS74,9001000274,Madurai,44,3,5,1,26,0,0,0,0,1
A75,ADDRESS75,9001000275,Mumbai,31,2,4,2,43,0,0,0,0,1
A76,ADDRESS76,9001000276,Coimbatore,31,0,1,1,24,0,0,0,0,1
A77,ADDRESS77,9001000277,Salem,55,0,1,2,17,0,0,0,0,1
A78,ADDRESS78,9001000278,Namakkal,19,4,8,0,35,0,0,0,0,1
A79,ADDRESS79,9001000279,Karur,31,1,10,1,20,0,0,0,0,1
A80,ADDRESS80,9001000280,Karur,22,3,10,0,20,0,0,0,0,1
A81,ADDRESS81,9001000281,Coimbatore,28,1,7,0,38,0,0,0,0,1
A82,ADDRESS82,9001000282,Salem,72,0,1,2,12,0,0,0,0,1
A83,ADDRESS83,9001000283,Mumbai,36,2,12,1,29,0,0,0,0,1
A84,ADDRESS84,9001000284,Chennai,23,3,10,1,16,0,0,0,0,1
A85,ADDRESS85,9001000285,Bangalore,24,3,4,2,4,0,0,0,0,1
A86,ADDRESS86,9001000286,Bangalore,51,1,6,1,41,0,0,0,0,1
A87,ADDRESS87,9001000287,Chennimalai,31,4,9,2,27,0,0,0,0,1
A88,ADDRESS88,9001000288,Chennai,33,4,6,2,49,0,0,0,0,1
A89,ADDRESS89,9001000289,Chennai,91,0,2,0,27,0,0,0,0,1
A90,ADDRESS90,9001000290,Chennai,20,3,12,2,27,0,0,0,0,1
A91,ADDRESS91,9001000291,Chennai,77,0,7,1,20,0,0,0,0,1
A92,ADDRESS92,9001000292,Karur,45,3,12,0,39,0,0,0,0,1
A93,ADDRESS93,9001000293,Chennai,43,5,5,1,11,0,0,0,0,1
A94,ADDRESS94,9001000294,Mumbai,30,2,11,1,22,0,0,0,0,1
A95,ADDRESS95,9001000295,Salem,61,1,11,2,7,0,0,0,0,1
A96,ADDRESS96,9001000296,Madurai,68,0,7,0,47,0,0,0,0,1
A97,ADDRESS97,9001000297,Mumbai,65,3,3,2,18,0,0,0,0,1
A98,ADDRESS98,9001000298,Salem,54,0,7,2,47,0,0,0,0,1
A99,ADDRESS99,9001000299,Madurai,52,3,3,1,39,0,0,0,0,1
