name,address,phoneNumber,city,age,calls,activeCalls,sms,data,subscription_a,subscription_b,subscription_c,subscription_d,plan
A1,ADDRESS1,9001000201,Coimbatore,90,2,11,2,37,0,0,0,0,1
A2,ADDRESS2,9001000202,Chennimalai,30,2,12,0,29,0,0,0,0,1
A3,ADDRESS3,9001000203,Bangalore,39,1,7,1,9,0,0,0,0,1
A4,ADDRESS4,9001000204,Namakkal,57,0,1,0,46,0,0,0,0,1
A5,ADDRESS5,9001000205,Chennai,23,1,9,2,31,0,0,0,0,1
A6,ADDRESS6,9001000206,Delhi,76,0,6,2,48,0,0,0,0,1
A7,ADDRESS7,9001000207,Mumbai,19,2,2,1,28,0,0,0,0,1
A8,ADDRESS8,9001000208,Madurai,84,0,6,1,40,0,0,0,0,1
A9,ADDRESS9,9001000209,Coimbatore,48,5,9,0,38,0,0,0,0,1
A10,ADDRESS10,9001000210,Chennimalai,51,0,11,0,14,0,0,0,0,1
A11,ADDRESS11,9001000211,Bangalore,39,3,12,2,29,0,0,0,0,1
A12,ADDRESS12,9001000212,Salem,24,2,11,2,45,0,0,0,0,1
A13,ADDRESS13,9001000213,Karur,31,1,2,0,9,0,0,0,0,1
A14,ADDRESS14,9001000214,Bangalore,87,2,10,1,6,0,0,0,0,1
A15,ADDRESS15,9001000215,Chennai,65,2,6,0,41,0,0,0,0,1
A16,ADDRESS16,9001000216,Mumbai,52,2,11,0,11,0,0,0,0,1
A17,ADDRESS17,9001000217,Chennai,48,4,9,0,44,0,0,0,0,1
A18,ADDRESS18,9001000218,Karur,29,3,9,1,32,0,0,0,0,1
A19,ADDRESS19,9001000219,Delhi,84,2,3,1,22,0,0,0,0,1
A20,ADDRESS20,9001000220,Madurai,69,2,2,0,18,0,0,0,0,1
A21,ADDRESS21,9001000221,Salem,43,2,3,2,18,0,0,0,0,1
A22,ADDRESS22,9001000222,Namakkal,77,1,12,2,7,0,0,0,0,1
A23,ADDRESS23,9001000223,Madurai,38,4,12,2,30,0,0,0,0,1
A24,ADDRESS24,9001000224,Mumbai,20,0,2,1,35,0,0,0,0,1
A25,ADDRESS25,9001000225,Madurai,83,2,12,0,22,0,0,0,0,1
A26,ADDRESS26,9001000226,Mumbai,21,1,11,2,19,0,0,0,0,1
A27,ADDRESS27,9001000227,Coimbatore,41,4,11,1,35,0,0,0,0,1
A28,ADDRESS28,9001000228,Mumbai,91,1,9,1,40,0,0,0,0,1
A29,ADDRESS29,9001000229,Chennai,91,0,4,0,48,0,0,0,0,1
A30,ADDRESS30,9001000230,Delhi,30,5,10,1,0,0,0,0,0,1
A31,ADDRESS31,9001000231,Madurai,18,1,8,0,32,0,0,0,0,1
A32,ADDRESS32,9001000232,Coimbatore,18,0,4,0,35,0,0,0,0,1
A33,ADDRESS33,9001000233,Karur,67,1,10,2,13,0,0,0,0,1
A34,ADDRESS34,9001000234,Delhi,43,2,3,0,36,0,0,0,0,1
A35,ADDRESS35,9001000235,Madurai,25,0,1,1,33,0,0,0,0,1
A36,ADDRESS36,9001000236,Chennai,88,2,8,2,49,0,0,0,0,1
